elapsed_s,drone_id,x,y,z,vx,vy,vz,fsm_state
0.002626,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,1
0.003781,3,-5.000000,0.500000,1.000000,0.000000,0.000000,0.000000,2
0.004178,2,-5.000000,-0.500000,1.000000,0.000000,0.000000,0.000000,1
0.005048,4,-5.000000,1.500000,1.000000,0.000000,0.000000,0.000000,2
0.052709,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,1
0.053873,3,-5.000000,0.500000,1.000000,0.000000,0.000000,0.000000,3
0.064138,2,-5.000000,-0.500000,1.000000,0.000000,0.000000,0.000000,3
0.065037,4,-5.000000,1.500000,1.000000,0.000000,0.000000,0.000000,3
0.112698,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,1
0.113869,3,-5.000000,0.500000,1.000000,0.000000,0.000000,0.000000,3
0.115126,4,-5.000000,1.500000,1.000000,0.000000,0.000000,0.000000,3
0.124098,2,-5.000000,-0.500000,1.000000,0.000000,0.000000,0.000000,3
0.163873,3,-5.000000,0.500000,1.000000,0.000000,0.000000,0.000000,3
0.172708,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,1
0.174989,4,-5.000000,1.500000,1.000000,0.000000,0.000000,0.000000,3
0.184076,2,-5.000000,-0.500000,1.000000,0.000000,0.000000,0.000000,3
0.223804,3,-5.000000,0.500000,1.000000,0.000000,0.000000,0.000000,4
0.225007,4,-5.000000,1.500000,1.000000,0.000000,0.000000,0.000000,4
0.232796,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,1
0.244172,2,-4.999719,-0.498922,0.999054,0.005922,0.003570,-0.003461,4
0.274032,3,-4.998098,0.498851,0.999981,0.018863,-0.002850,-0.000018,3
0.275018,4,-4.998635,1.500744,1.000042,0.015029,0.002820,-0.000275,4
0.292716,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,1
0.304231,2,-4.999177,-0.498803,0.998826,0.013900,-0.000475,-0.004310,4
0.325140,4,-4.997485,1.500857,1.000021,0.033138,0.001550,-0.000587,4
0.333837,3,-4.996383,0.498784,0.999975,0.041160,0.001143,-0.000211,3
0.352758,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,1
0.364102,2,-4.997844,-0.499087,0.998514,0.032354,-0.009897,-0.006286,4
0.383897,3,-4.993588,0.498974,0.999958,0.072585,0.006789,-0.000483,3
0.385075,4,-4.994433,1.500875,0.999968,0.071658,-0.001165,-0.001251,4
0.412742,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,2
0.414176,2,-4.995668,-0.499866,0.998140,0.055799,-0.021887,-0.008800,4
0.443780,3,-4.987727,0.499654,0.999916,0.125000,0.016498,-0.000936,3
0.444989,4,-4.988526,1.500689,0.999865,0.127486,-0.005422,-0.002214,3
0.472672,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,2
0.474158,2,-4.991291,-0.501741,0.997507,0.091273,-0.041743,-0.012335,3
0.493889,3,-4.969111,0.501900,0.998870,0.229298,0.020573,-0.006421,4
0.494992,4,-4.980892,1.500261,0.999733,0.177952,-0.012294,-0.003083,3
0.522707,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,2
0.534045,2,-4.984582,-0.505011,0.996656,0.133012,-0.068166,-0.016010,3
0.544999,4,-4.970717,1.499399,0.999556,0.229200,-0.022828,-0.003964,3
0.553792,3,-4.953546,0.503633,0.998447,0.290073,0.037512,-0.007877,4
0.582684,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,2
0.584075,2,-4.976974,-0.509068,0.995778,0.172388,-0.095080,-0.019161,3
0.595056,4,-4.957955,1.497917,0.999336,0.281273,-0.037033,-0.004858,3
0.603818,3,-4.937725,0.505895,0.998006,0.342648,0.053163,-0.009852,4
0.632787,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,2
0.634100,2,-4.967271,-0.514598,0.994739,0.215523,-0.126438,-0.022348,3
0.653885,3,-4.919271,0.508968,0.997450,0.396829,0.070164,-0.012511,3
0.655019,4,-4.937134,1.491424,0.998958,0.348094,-0.079541,-0.006563,4
0.692742,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,2
0.694040,2,-4.948869,-0.517496,0.993560,0.288074,-0.149820,-0.027778,4
0.713811,3,-4.893450,0.513836,0.996582,0.464205,0.092422,-0.016617,3
0.715061,4,-4.914353,1.485801,0.998538,0.411366,-0.109107,-0.007409,4
0.744125,2,-4.933244,-0.525564,0.992083,0.337468,-0.171392,-0.031358,4
0.752678,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,2
0.763844,3,-4.868728,0.518968,0.995646,0.522350,0.112548,-0.020805,3
0.765085,4,-4.892455,1.479609,0.998152,0.464109,-0.139297,-0.008007,4
0.804154,2,-4.911120,-0.536329,0.990062,0.400941,-0.185674,-0.036093,4
0.812691,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,2
0.823823,3,-4.835396,0.526475,0.994241,0.590367,0.138555,-0.026161,3
0.825027,4,-4.862723,1.470006,0.997653,0.527327,-0.182129,-0.008596,4
0.854198,2,-4.889751,-0.545816,0.988165,0.454858,-0.194302,-0.039800,2
0.872661,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,3
0.873881,3,-4.786879,0.531420,0.992014,0.646576,0.147051,-0.027745,4
0.875116,4,-4.835006,1.459877,0.997213,0.580076,-0.223418,-0.008979,3
0.914053,2,-4.860520,-0.557785,0.985659,0.519447,-0.204612,-0.043606,3
0.922709,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,3
0.933896,3,-4.746172,0.541127,0.990183,0.710461,0.176928,-0.033296,4
