run_id,seed,start_time,mission_time_s,uav1_time_s,uav2_time_s,uav3_time_s,uav4_time_s,sum_flight_time_s,coverage_pct,mean_turn_angle_deg,min_obstacle_distance_m,min_obstacle_center_distance_m,min_inter_uav_center_distance_m,total_path_length_m,obstacle_collision_count,uav_collision_count,total_collision_count,planning_call_count,planning_time_sum_s,mean_planning_time_s,max_planning_time_s
run_000001_seed001_20260719_210025,1,2026-07-19T21:00:25,43.482134,43.482134,43.482134,43.086842,43.482134,173.533243,100.000000,12.539820,0.250531,0.500531,0.373160,66.918950,0,2,2,,,,
run_000002_seed002_20260719_210157,2,2026-07-19T21:01:57,27.577656,25.251971,36.033926,27.577656,27.577656,116.441208,100.000000,10.629522,0.227210,0.477210,0.077982,56.029331,0,2,2,,,,
run_000003_seed003_20260719_210314,3,2026-07-19T21:03:14,28.620854,28.620854,28.620854,28.620854,28.620854,114.483417,100.000000,10.700857,0.189570,0.439570,0.409004,68.035476,0,2,2,,,,
run_000004_seed004_20260719_210431,4,2026-07-19T21:04:31,42.498203,42.498203,51.605616,42.498203,42.498203,179.100226,100.000000,11.735485,0.123424,0.373424,0.437259,74.646753,0,1,1,,,,
run_000005_seed005_20260719_210601,5,2026-07-19T21:06:01,29.656419,29.656419,29.656419,29.656419,59.475487,148.444744,100.000000,13.622060,0.176325,0.426325,0.611961,67.567359,0,0,0,,,,
run_000006_seed006_20260719_210720,6,2026-07-19T21:07:20,40.141937,40.141937,40.141937,40.141937,48.049469,168.475279,100.000000,11.108744,0.183764,0.433764,0.024856,69.022214,0,2,2,,,,
run_000007_seed007_20260719_210848,7,2026-07-19T21:08:48,30.062369,30.062369,30.062369,30.062369,30.062369,120.249476,100.000000,12.172368,0.066307,0.316307,0.218210,70.309948,0,3,3,,,,
run_000008_seed008_20260719_211007,8,2026-07-19T21:10:07,42.248316,42.248316,42.248316,46.944774,42.248316,173.689723,98.917427,11.940236,-0.002705,0.247295,0.031522,65.449380,1,1,2,,,,
run_000009_seed009_20260719_211137,9,2026-07-19T21:11:37,24.747568,24.747568,24.747568,24.747568,24.747568,98.990273,99.957546,11.602006,0.077102,0.327102,0.243190,66.534929,0,2,2,,,,
run_000010_seed010_20260719_211250,10,2026-07-19T21:12:50,40.854191,40.854191,40.854191,40.854191,53.420808,175.983380,100.000000,12.221944,0.080113,0.330113,0.128546,88.828202,0,9,9,,,,
run_000011_seed011_20260719_211418,11,2026-07-19T21:14:18,27.351938,27.351938,27.351938,27.351938,27.351938,109.407750,99.936319,12.641253,0.133274,0.383274,0.108990,71.248789,0,2,2,,,,
run_000012_seed012_20260719_211532,12,2026-07-19T21:15:32,27.276896,27.276896,27.276896,37.686716,27.276896,119.517404,100.000000,13.039761,0.116141,0.366141,0.051807,63.971974,0,1,1,,,,
